index,time,data
600,1597991048748751608,1896
601,1597991048748880225,1901
602,1597991048748900275,1901
603,1597991048748915623,1896
604,1597991048748933044,1898
605,1597991048748950748,1904
606,1597991048792739381,1899
607,1597991048792798530,1894
608,1597991048792842718,1902
609,1597991048792897206,1893
611,1597991048802703251,1894
612,1597991048844762194,1894
613,1597991048844844035,1896
614,1597991048844883768,1898
615,1597991048844925073,1894
616,1597991048892674371,1896
617,1597991048892730136,1901
618,1597991048892752064,1896
619,1597991048892792375,1894
620,1597991048892827675,1898
621,1597991048940723945,1896
622,1597991048940828379,1898
623,1597991048940869978,1896
624,1597991048940923288,1894
625,1597991048940963367,1894
626,1597991048941011268,1898
627,1597991048984762605,1896
628,1597991048984825376,1898
629,1597991048984868317,1896
630,1597991048984909881,1894
631,1597991048985940010,1894
632,1597991048995535340,1894
633,1597991049036796801,1894
634,1597991049036888348,1896
635,1597991049036943551,1896
636,1597991049036963259,1896
637,1597991049080726003,1898
638,1597991049080783211,1896
639,1597991049080800854,1896
640,1597991049080846294,1894
641,1597991049080913331,1896
642,1597991049124733653,1896
643,1597991049124817590,1891
644,1597991049124858259,1896
645,1597991049124907853,1898
646,1597991049124968070,1896
647,1597991049172743012,1898
648,1597991049172834407,1894
649,1597991049172858272,1896
650,1597991049172876230,1896
651,1597991049172895235,1896
652,1597991049216823291,1894
653,1597991049216916325,1893
654,1597991049216970757,1896
655,1597991049216992603,1896
656,1597991049217019921,1896
657,1597991049260765406,1889
658,1597991049260832222,1896
659,1597991049260849093,1894
660,1597991049260892475,1898
661,1597991049261138748,1901
662,1597991049270744541,1896
663,1597991049312803636,1894
664,1597991049312894436,1896
665,1597991049312947692,1896
666,1597991049312972189,1904
667,1597991049360753705,1896
668,1597991049360814559,1896
669,1597991049360861111,1899
670,1597991049360881912,1896
671,1597991049360899919,1893
672,1597991049408774122,1893
673,1597991049408856867,1894
674,1597991049408905664,1894
675,1597991049408926415,1894
676,1597991049408952618,1891
677,1597991049408981489,1896
678,1597991049456702961,1902
679,1597991049456760534,1896
680,1597991049456778640,1896
681,1597991049456796807,1894
682,1597991049456814889,1899
683,1597991049462722675,1894
684,1597991049472379608,1894
685,1597991049512787292,1899
686,1597991049512876009,1891
687,1597991049512908331,1899
688,1597991049512949262,1901
689,1597991049556789671,1896
690,1597991049556852263,1896
691,1597991049556895215,1901
692,1597991049556913879,1894
693,1597991049556934612,1896
