index,time,data
609,1598235557914797040,1901
610,1598235557914899258,1901
611,1598235557914963201,1898
612,1598235557915048872,1896
613,1598235557958889011,1901
614,1598235557958961748,1901
615,1598235557958985708,1901
616,1598235557959006853,1899
617,1598235557959030720,1894
618,1598235558002756413,1899
619,1598235558002833221,1899
620,1598235558002855721,1901
621,1598235558002880511,1901
622,1598235558002901497,1898
623,1598235558047188106,1902
624,1598235558047472875,1894
625,1598235558047621521,1901
626,1598235558047761009,1901
627,1598235558049250082,1902
628,1598235558059077851,1901
629,1598235558102769312,1901
630,1598235558102867110,1899
631,1598235558102911330,1899
632,1598235558102952766,1901
633,1598235558146959939,1901
634,1598235558147052288,1901
635,1598235558147082392,1901
636,1598235558147106160,1904
637,1598235558147133555,1896
638,1598235558190903310,1898
639,1598235558190969629,1896
640,1598235558191000415,1896
641,1598235558191027273,1901
642,1598235558191051478,1906
643,1598235558234747679,1898
644,1598235558234827736,1901
645,1598235558234859283,1899
646,1598235558234886556,1899
647,1598235558234913819,1899
648,1598235558282790883,1901
649,1598235558282881031,1901
650,1598235558282914130,1901
651,1598235558282945036,1902
652,1598235558282971301,1896
653,1598235558326761694,1899
654,1598235558326849504,1901
655,1598235558326887278,1902
656,1598235558326918949,1899
657,1598235558326950670,1899
658,1598235558370794572,1901
659,1598235558370884007,1901
660,1598235558370916483,1898
661,1598235558370948772,1907
662,1598235558373055442,1899
663,1598235558382526922,1901
664,1598235558422783123,1896
665,1598235558422879376,1902
666,1598235558422910861,1898
667,1598235558422942465,1901
668,1598235558470817060,1901
669,1598235558470897524,1902
670,1598235558470926336,1896
671,1598235558470952064,1901
672,1598235558470976313,1901
673,1598235558514797660,1899
674,1598235558514883433,1899
675,1598235558514913710,1901
676,1598235558514939486,1894
677,1598235558514977487,1901
678,1598235558558870751,1898
679,1598235558558939997,1899
680,1598235558558960720,1907
681,1598235558558979416,1899
682,1598235558558997265,1896
683,1598235558602738957,1894
684,1598235558602813575,1899
685,1598235558602838816,1896
686,1598235558602861433,1901
687,1598235558604143894,1896
688,1598235558613971360,1901
689,1598235558658889052,1899
690,1598235558658975496,1899
691,1598235558659001922,1901
692,1598235558659027798,6000
693,1598235558702768970,1901
694,1598235558702859733,1909
695,1598235558702898137,1899
696,1598235558702931830,1909
697,1598235558702973987,1899
698,1598235558747148554,1901
699,1598235558747421256,1899
700,1598235558747526025,1901
701,1598235558747625434,1901
702,1598235558747777664,1901
703,1598235558790783866,1906
704,1598235558790866432,6000
705,1598235558790898527,1896
706,1598235558790927516,1896
707,1598235558790968903,6000
708,1598235558834791439,1901
709,1598235558834860071,1898
710,1598235558834885380,1899
711,1598235558834902245,1901
712,1598235558835420251,1899
713,1598235558845185146,1902
714,1598235558886902635,1898
715,1598235558887028859,1898
716,1598235558887060725,1901
717,1598235558887083427,1901
718,1598235558934834019,1898
719,1598235558934912310,1901
720,1598235558934948302,1898
721,1598235558934977716,1896
722,1598235558935004272,1898
723,1598235558979009699,1899
724,1598235558979121403,1901
725,1598235558979179213,1899
726,1598235558979238279,1901
727,1598235558979297126,1902
728,1598235559022851125,1899
729,1598235559022976545,1896
730,1598235559023040258,1899
731,1598235559023093445,1901
732,1598235559023153922,1899
733,1598235559066737570,1901
734,1598235559066844455,1899
735,1598235559066891749,1907
736,1598235559066937814,1896
737,1598235559066982464,1899
738,1598235559110865011,1899
739,1598235559110952839,1899
740,1598235559110984218,1898
741,1598235559111024091,1901
742,1598235559112311442,1901
743,1598235559121920569,1901
744,1598235559162826025,1899
745,1598235559162899700,1907
746,1598235559162925573,1901
747,1598235559162950722,6000
748,1598235559206801452,1899
749,1598235559206889143,1901
750,1598235559206920111,1901
751,1598235559206957786,1896
752,1598235559207010660,1901
753,1598235559250827183,1899
754,1598235559250906817,1894
755,1598235559250936465,1899
756,1598235559250968579,1899
757,1598235559251502140,1901
758,1598235559260386411,1896
759,1598235559306790620,1901
760,1598235559306908680,1901
761,1598235559306947079,1899
762,1598235559306986912,1899
763,1598235559307028520,1904
764,1598235559354747301,1896
765,1598235559354854739,1901
766,1598235559354896114,1896
767,1598235559354937662,1902
768,1598235559354972079,1899
769,1598235559394930685,1901
770,1598235559395012065,1901
771,1598235559395039893,1899
772,1598235559395086553,1896
773,1598235559399531890,1901
774,1598235559408423009,1896
775,1598235559454797255,1899
776,1598235559454900433,1901
777,1598235559454929637,1901
778,1598235559454957614,1899
779,1598235559454982026,1899
780,1598235559498852426,1901
781,1598235559498937933,1899
782,1598235559498964000,1899
783,1598235559498991766,1898
784,1598235559501186662,1896
785,1598235559510059591,1899
786,1598235559554780369,1902
787,1598235559554877141,1894
788,1598235559554912359,1901
789,1598235559554941144,1907
790,1598235559602890778,1901
791,1598235559603022848,1901
792,1598235559603096729,1896
793,1598235559603152250,1901
794,1598235559603205848,1901
795,1598235559603262111,1899
796,1598235559646914770,1896
797,1598235559646989912,1901
798,1598235559647013148,1901
799,1598235559647031105,1904
800,1598235559648468235,1901
801,1598235559658080558,1904
802,1598235559702782655,6000
803,1598235559702852383,1901
804,1598235559702876322,1901
805,1598235559702897654,1902
806,1598235559747153612,1896
807,1598235559747447318,1907
808,1598235559747564264,1901
809,1598235559747706750,1904
810,1598235559747885779,1901
811,1598235559790815460,1902
812,1598235559790903798,1902
813,1598235559790935855,1899
814,1598235559790965509,1901
815,1598235559791002917,1901
816,1598235559834814212,1902
817,1598235559834909752,1902
818,1598235559834942387,1898
819,1598235559834969101,1901
820,1598235559834997875,1901
821,1598235559878924772,1909
822,1598235559879020687,1894
823,1598235559879054827,1896
824,1598235559879085711,1904
825,1598235559879634152,1899
826,1598235559888495985,1896
827,1598235559930917776,1894
828,1598235559931016811,1906
829,1598235559931052579,1894
830,1598235559931074909,1902
831,1598235559974865388,1901
832,1598235559974936565,1901
833,1598235559974958257,1901
834,1598235559974985794,1896
835,1598235559975008526,1901
836,1598235560018761573,1901
837,1598235560018832297,1902
838,1598235560018854853,1894
839,1598235560018891412,1901
840,1598235560018918284,1894
841,1598235560062902070,1901
842,1598235560062981337,1894
843,1598235560063006258,1901
844,1598235560063027161,1901
845,1598235560064522144,1901
846,1598235560073320652,6000
847,1598235560114767849,1901
848,1598235560114861019,1899
849,1598235560114893736,1907
850,1598235560114926724,1896
851,1598235560162910870,1901
852,1598235560162990935,1901
853,1598235560163016145,1899
854,1598235560163038020,1896
855,1598235560163057723,1899
856,1598235560206917357,1898
857,1598235560207117080,6000
858,1598235560207222919,1894
859,1598235560207332092,1901
860,1598235560207448315,1898
861,1598235560250790827,1909
862,1598235560250860537,1899
863,1598235560250880673,1904
864,1598235560250897392,1901
865,1598235560250913568,6000
866,1598235560294847358,1896
867,1598235560294933889,1901
868,1598235560294974411,1901
869,1598235560295003494,1901
870,1598235560295042104,1902
871,1598235560303701872,1899
872,1598235560346954604,1899
873,1598235560347150650,1894
874,1598235560347229854,1899
875,1598235560347295425,1896
876,1598235560390805652,1901
877,1598235560390920502,1901
878,1598235560390975599,1901
879,1598235560391022042,1896
880,1598235560391068377,1902
881,1598235560438808850,1901
882,1598235560438911562,1901
883,1598235560438950143,1899
884,1598235560438982043,1901
885,1598235560439015266,1901
886,1598235560478949299,1902
887,1598235560479027103,1894
888,1598235560479053952,1901
889,1598235560479076486,1899
890,1598235560479821424,1901
891,1598235560488579637,1899
892,1598235560530871708,1901
893,1598235560531115413,1901
894,1598235560531211024,1902
895,1598235560531270928,1907
896,1598235560574862897,1909
897,1598235560574960304,1899
898,1598235560574985258,1899
899,1598235560575011480,1901
900,1598235560575042026,1901
901,1598235560622820114,1902
902,1598235560622888884,1899
903,1598235560622908558,1902
904,1598235560622926151,1898
905,1598235560622950511,1907
906,1598235560667010962,1896
907,1598235560667341919,1901
908,1598235560667509074,1896
909,1598235560667637894,1898
910,1598235560667732625,1901
911,1598235560710872469,1902
912,1598235560710970392,1898
913,1598235560711009845,1901
914,1598235560711042847,1901
915,1598235560711076246,1901
916,1598235560754824289,1899
917,1598235560754903552,1901
918,1598235560754931402,1899
919,1598235560754953965,1909
920,1598235560755748386,1899
921,1598235560765501342,1907
922,1598235560806875675,1901
923,1598235560806942735,1901
924,1598235560806961007,1902
925,1598235560806980234,1901
926,1598235560850747436,1901
927,1598235560850845272,1896
928,1598235560850872955,1901
929,1598235560850896431,1901
930,1598235560850919220,1901
931,1598235560894700183,1902
932,1598235560894759612,1902
933,1598235560894775163,1901
934,1598235560894790742,1902
935,1598235560894806188,1901
936,1598235560938985443,1898
937,1598235560939240490,1901
938,1598235560939378864,1901
939,1598235560939566309,1898
940,1598235560940939460,1901
941,1598235560950312778,1899
942,1598235560994885725,1901
943,1598235560994978087,1899
944,1598235560995017658,1894
945,1598235560995050655,1902
946,1598235561038817855,1901
947,1598235561038885927,1902
948,1598235561038905892,1898
949,1598235561038924371,1902
950,1598235561038940615,1899
951,1598235561086866879,1902
952,1598235561086983714,1899
953,1598235561087017065,1902
954,1598235561087047064,1901
955,1598235561087073690,1902
956,1598235561130944073,1894
957,1598235561131029892,1901
958,1598235561131062004,1899
959,1598235561131090268,1902
960,1598235561131119058,1896
961,1598235561178843060,1901
962,1598235561178915292,1901
963,1598235561178935266,1901
964,1598235561178953645,1899
965,1598235561178972399,6000
966,1598235561222870765,1901
967,1598235561222941624,1901
968,1598235561222960765,1904
969,1598235561222985816,1907
970,1598235561223008044,1901
971,1598235561266787066,1901
972,1598235561266859163,1901
973,1598235561266883734,1906
974,1598235561266909544,1901
975,1598235561266932505,1901
976,1598235561310853510,1901
977,1598235561310921613,6000
978,1598235561310942200,1901
979,1598235561310959302,1894
980,1598235561310977178,1902
981,1598235561354750353,1896
982,1598235561354906350,1901
983,1598235561354946026,1896
984,1598235561354981542,1901
985,1598235561355041616,1898
986,1598235561365035841,1909
987,1598235561406942515,1898
988,1598235561407063299,1899
989,1598235561407123840,1901
990,1598235561407185603,1902
991,1598235561454792592,1896
992,1598235561454890443,1901
993,1598235561454921852,1899
994,1598235561454950948,1902
995,1598235561454978520,1901
996,1598235561498787390,1907
997,1598235561498884658,1901
998,1598235561498919099,1896
